/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
=== PULLING LINKS ===
  Total: 64,550
  [ 32.6%] 21,050/64,550 | ETA: 20min
  [ 32.7%] 21,100/64,550 | ETA: 20min
  [ 32.8%] 21,150/64,550 | ETA: 20min
  [ 32.8%] 21,200/64,550 | ETA: 20min
  [ 32.9%] 21,250/64,550 | ETA: 20min
  [ 33.0%] 21,300/64,550 | ETA: 19min
  [ 33.1%] 21,350/64,550 | ETA: 19min
  [ 33.2%] 21,400/64,550 | ETA: 19min
  [ 33.2%] 21,450/64,550 | ETA: 19min
  [ 33.3%] 21,500/64,550 | ETA: 19min
  [ 33.4%] 21,550/64,550 | ETA: 19min
  [ 33.5%] 21,600/64,550 | ETA: 19min
  [ 33.5%] 21,650/64,550 | ETA: 19min
  [ 33.6%] 21,700/64,550 | ETA: 19min
  [ 33.7%] 21,750/64,550 | ETA: 19min
  [ 33.8%] 21,800/64,550 | ETA: 19min
  [ 33.8%] 21,850/64,550 | ETA: 19min
  [ 33.9%] 21,900/64,550 | ETA: 19min
  [ 34.0%] 21,950/64,550 | ETA: 19min
  [ 34.1%] 22,000/64,550 | ETA: 19min
  [ 34.2%] 22,050/64,550 | ETA: 19min
  [ 34.2%] 22,100/64,550 | ETA: 19min
  [ 34.3%] 22,150/64,550 | ETA: 19min
  [ 34.4%] 22,200/64,550 | ETA: 19min
  [ 34.5%] 22,250/64,550 | ETA: 19min
  [ 34.5%] 22,300/64,550 | ETA: 19min
  [ 34.6%] 22,350/64,550 | ETA: 19min
  [ 34.7%] 22,400/64,550 | ETA: 19min
  [ 34.8%] 22,450/64,550 | ETA: 19min
  [ 34.9%] 22,500/64,550 | ETA: 19min
  [ 34.9%] 22,550/64,550 | ETA: 19min
  [ 35.0%] 22,600/64,550 | ETA: 19min
  [ 35.1%] 22,650/64,550 | ETA: 19min
  [ 35.2%] 22,700/64,550 | ETA: 19min
  [ 35.2%] 22,750/64,550 | ETA: 19min
  [ 35.3%] 22,800/64,550 | ETA: 19min
  [ 35.4%] 22,850/64,550 | ETA: 19min
  [ 35.5%] 22,900/64,550 | ETA: 19min
  [ 35.6%] 22,950/64,550 | ETA: 19min
  [ 35.6%] 23,000/64,550 | ETA: 19min
  [ 35.7%] 23,050/64,550 | ETA: 19min
  [ 35.8%] 23,100/64,550 | ETA: 19min
  [ 35.9%] 23,150/64,550 | ETA: 19min
  [ 35.9%] 23,200/64,550 | ETA: 19min
  [ 36.0%] 23,250/64,550 | ETA: 19min
  [ 36.1%] 23,300/64,550 | ETA: 19min
  [ 36.2%] 23,350/64,550 | ETA: 19min
  [ 36.3%] 23,400/64,550 | ETA: 19min
  [ 36.3%] 23,450/64,550 | ETA: 19min
  [ 36.4%] 23,500/64,550 | ETA: 19min
  [ 36.5%] 23,550/64,550 | ETA: 18min
  [ 36.6%] 23,600/64,550 | ETA: 18min
  [ 36.6%] 23,650/64,550 | ETA: 18min
  [ 36.7%] 23,700/64,550 | ETA: 18min
  [ 36.8%] 23,750/64,550 | ETA: 18min
  [ 36.9%] 23,800/64,550 | ETA: 18min
  [ 36.9%] 23,850/64,550 | ETA: 18min
  [ 37.0%] 23,900/64,550 | ETA: 18min
  [ 37.1%] 23,950/64,550 | ETA: 18min
  [ 37.2%] 24,000/64,550 | ETA: 18min
  [ 37.3%] 24,050/64,550 | ETA: 18min
  [ 37.3%] 24,100/64,550 | ETA: 18min
  [ 37.4%] 24,150/64,550 | ETA: 18min
  [ 37.5%] 24,200/64,550 | ETA: 18min
  [ 37.6%] 24,250/64,550 | ETA: 18min
  [ 37.6%] 24,300/64,550 | ETA: 18min
  [ 37.7%] 24,350/64,550 | ETA: 18min
  [ 37.8%] 24,400/64,550 | ETA: 18min
  [ 37.9%] 24,450/64,550 | ETA: 18min
  [ 38.0%] 24,500/64,550 | ETA: 18min
  [ 38.0%] 24,550/64,550 | ETA: 18min
  [ 38.1%] 24,600/64,550 | ETA: 18min
  [ 38.2%] 24,650/64,550 | ETA: 18min
  [ 38.3%] 24,700/64,550 | ETA: 18min
  [ 38.3%] 24,750/64,550 | ETA: 18min
  [ 38.4%] 24,800/64,550 | ETA: 18min
  [ 38.5%] 24,850/64,550 | ETA: 18min
  [ 38.6%] 24,900/64,550 | ETA: 18min
  [ 38.7%] 24,950/64,550 | ETA: 18min
